,network,er_net,upa_net
0,1239,1230,1239
1,1238,1230,1238
2,1237,1229,1237
3,1236,1228,1236
4,1235,1227,1235
5,1234,1226,1234
6,1233,1225,1233
7,1232,1224,1232
8,1225,1223,1231
9,1224,1222,1230
10,1223,1221,1229
11,1222,1220,1228
12,1221,1219,1227
13,1220,1218,1226
14,1219,1216,1225
15,1216,1215,1224
16,1215,1214,1223
17,1214,1213,1222
18,1213,1212,1221
19,1212,1212,1221
20,1211,1212,1221
21,1210,1211,1220
22,1209,1210,1219
23,1207,1209,1218
24,1206,1208,1217
25,1205,1207,1216
26,1204,1206,1215
27,1203,1205,1214
28,1202,1204,1213
29,1201,1203,1212
30,1200,1202,1211
31,1199,1201,1210
32,1198,1200,1209
33,1195,1199,1208
34,1194,1198,1207
35,1191,1197,1206
36,1190,1196,1205
37,1189,1195,1204
38,1184,1194,1203
39,1182,1193,1202
40,1181,1192,1201
41,1180,1192,1201
42,1179,1191,1200
43,1178,1190,1199
44,1177,1188,1198
45,1176,1187,1197
46,1175,1186,1196
47,1174,1185,1195
48,1171,1184,1194
49,1170,1183,1193
50,1169,1182,1192
51,1168,1181,1191
52,1167,1180,1190
53,1166,1179,1189
54,1165,1178,1188
55,1164,1177,1187
56,1163,1176,1186
57,1149,1175,1185
58,1148,1174,1184
59,1147,1173,1183
60,1145,1172,1182
61,1144,1171,1181
62,1142,1170,1180
63,1137,1169,1179
64,1136,1168,1178
65,1134,1167,1177
66,1133,1166,1176
67,1131,1165,1175
68,1130,1164,1174
69,1129,1163,1173
70,1128,1162,1172
71,1127,1160,1171
72,1126,1159,1170
73,1125,1159,1170
74,1124,1159,1169
75,1123,1159,1169
76,1121,1158,1168
77,1121,1157,1167
78,1120,1156,1166
79,1119,1156,1166
80,1117,1155,1165
81,1116,1154,1164
82,1114,1153,1163
83,1113,1152,1162
84,1112,1151,1161
85,1111,1149,1160
86,1110,1148,1159
87,1109,1147,1158
88,1108,1146,1157
89,1107,1145,1156
90,1106,1144,1155
91,1105,1143,1154
92,1105,1142,1153
93,1104,1141,1152
94,1103,1140,1151
95,1102,1139,1150
96,1101,1138,1149
97,1100,1136,1148
98,1099,1134,1147
99,1098,1133,1146
100,1097,1132,1145
101,1096,1131,1144
102,1095,1131,1144
103,1088,1130,1143
104,1087,1130,1143
105,1087,1129,1142
106,1086,1128,1141
107,1085,1127,1140
108,1084,1126,1139
