,network,er_net,upa_net
0,1239,1239,1239
1,1238,1238,1238
2,1237,1237,1237
3,1236,1236,1236
4,1235,1235,1235
5,1234,1234,1234
6,1233,1234,1234
7,1230,1233,1233
8,1229,1232,1232
9,1228,1231,1231
10,1225,1230,1230
11,1224,1229,1229
12,1223,1228,1228
13,1222,1227,1227
14,1217,1226,1226
15,1215,1225,1225
16,1214,1224,1224
17,1213,1223,1223
18,1208,1222,1222
19,1207,1221,1221
20,1206,1221,1221
21,1205,1220,1220
22,1204,1219,1219
23,1203,1218,1218
24,1202,1217,1217
25,1172,1216,1216
26,1172,1216,1216
27,1171,1215,1215
28,1166,1214,1214
29,1165,1213,1213
30,1162,1212,1212
31,1162,1211,1211
32,1162,1210,1210
33,1161,1209,1209
34,1160,1209,1209
35,1160,1208,1208
36,1159,1207,1207
37,1158,1206,1206
38,1157,1205,1205
39,1156,1204,1204
40,1155,1203,1203
41,1154,1202,1202
42,1152,1201,1201
43,1151,1200,1200
44,1150,1199,1199
45,1149,1198,1198
46,1148,1197,1197
47,1147,1196,1196
48,1146,1195,1195
49,1145,1194,1194
50,1144,1194,1194
51,1143,1194,1194
52,1142,1193,1193
53,1142,1192,1192
54,1113,1191,1190
55,1112,1190,1189
56,1111,1189,1188
57,1110,1188,1187
58,1109,1188,1187
59,1105,1187,1186
60,1104,1186,1185
61,1104,1185,1184
62,1103,1184,1182
63,1102,1183,1181
64,1100,1182,1180
65,1098,1181,1179
66,1096,1180,1177
67,1095,1179,1176
68,1094,1178,1175
69,1093,1177,1174
70,1092,1176,1172
71,1091,1175,1171
72,1090,1174,1169
73,1086,1173,1168
74,1085,1172,1167
75,1080,1171,1166
76,1079,1170,1165
77,1079,1169,1164
78,1078,1168,1163
79,1077,1167,1162
80,1074,1166,1161
81,1073,1165,1160
82,1072,1164,1159
83,1071,1163,1158
84,1070,1162,1155
85,1069,1161,1153
86,1066,1160,1152
87,1065,1159,1151
88,1064,1158,1149
89,1063,1157,1148
90,1062,1156,1147
91,1061,1155,1146
92,1060,1154,1145
93,1058,1153,1144
94,1057,1152,1143
95,1056,1151,1142
96,1055,1150,1141
97,1054,1149,1140
98,1053,1148,1139
99,1051,1147,1138
100,1050,1146,1137
101,1049,1145,1136
102,1048,1144,1135
103,1047,1143,1134
104,1046,1142,1132
105,1045,1141,1131
106,1039,1140,1130
107,1038,1139,1129
108,1034,1138,1127
109,1033,1137,1126
110,1032,1136,1125
111,1031,1135,1124
112,1030,1134,1123
113,1029,1133,1121
114,1028,1132,1119
115,1027,1131,1118
116,1026,1130,1117
117,1025,1129,1116
118,1024,1128,1115
119,1021,1127,1114
120,1020,1126,1113
121,1019,1125,1112
122,1018,1124,1111
123,1017,1123,1110
124,1014,1122,1109
125,1013,1122,1109
126,1012,1121,1108
127,1011,1120,1107
128,1010,1119,1106
129,1006,1118,1105
130,1005,1117,1104
131,1004,1116,1103
132,1003,1115,1102
133,1002,1114,1101
134,999,1113,1100
135,998,1112,1099
136,997,1111,1098
137,996,1110,1097
138,995,1109,1096
139,995,1108,1095
140,994,1107,1094
141,993,1106,1093
142,992,1105,1092
143,991,1104,1091
144,990,1103,1090
145,989,1103,1090
146,988,1102,1089
147,987,1101,1088
148,987,1100,1087
149,985,1099,1086
150,984,1098,1082
151,983,1097,1081
152,982,1097,1081
153,981,1096,1079
154,980,1096,1079
155,976,1095,1078
156,968,1094,1077
157,966,1093,1076
158,965,1092,1075
159,964,1091,1074
160,963,1091,1074
161,962,1090,1073
162,961,1089,1072
163,960,1088,1071
164,959,1087,1070
165,958,1086,1068
166,957,1085,1066
167,957,1084,1065
168,956,1083,1064
169,955,1082,1063
170,955,1082,1063
171,954,1081,1062
172,953,1081,1062
173,952,1080,1061
174,951,1080,1061
175,943,1079,1060
176,942,1078,1058
177,941,1078,1058
178,940,1077,1057
179,939,1076,1056
180,937,1075,1055
181,936,1074,1054
182,935,1073,1053
183,934,1073,1053
184,933,1072,1052
185,931,1071,1050
186,931,1070,1049
187,928,1069,1048
188,927,1068,1047
189,925,1067,1044
190,924,1066,1043
191,923,1065,1039
192,922,1064,1037
193,920,1063,1036
194,919,1062,1035
195,918,1061,1035
196,917,1060,1034
197,916,1059,1033
198,915,1058,1032
199,914,1057,1030
200,913,1056,1029
201,912,1055,1029
202,911,1054,1026
203,911,1053,1025
204,910,1052,1024
205,909,1051,1023
206,908,1050,1022
207,907,1049,1021
208,906,1048,1020
209,905,1047,1019
210,905,1046,1018
211,904,1045,1017
212,903,1045,1017
213,902,1044,1016
214,901,1043,1015
215,901,1042,1015
216,900,1041,1012
217,899,1040,1011
218,898,1039,1010
219,897,1039,1010
220,896,1038,1009
221,895,1037,1008
222,894,1036,1007
223,893,1035,1006
224,892,1034,1005
225,891,1033,1003
226,890,1032,1002
227,889,1032,1002
228,888,1031,1001
229,887,1030,999
230,886,1029,997
231,884,1028,996
232,884,1027,995
233,883,1026,994
234,882,1026,994
235,881,1025,993
236,880,1024,992
237,879,1024,992
238,878,1024,992
239,877,1023,990
240,876,1022,989
241,875,1021,988
242,874,1020,986
243,873,1019,984
244,869,1018,983
245,869,1017,982
246,868,1016,980
247,863,1015,979
248,861,1014,976
249,860,1013,974
250,859,1012,972
251,859,1011,971
252,856,1010,970
253,855,1009,967
254,854,1008,966
255,851,1007,965
256,851,1006,964
257,850,1005,963
258,838,1004,959
259,837,1003,958
260,836,1002,957
261,835,1001,956
262,834,1000,955
263,833,999,954
264,832,998,953
265,831,997,953
266,829,996,951
267,827,995,950
268,826,994,949
269,825,993,948
270,824,993,948
271,824,993,948
272,823,992,947
273,822,991,946
274,822,991,946
275,818,990,945
276,817,989,943
277,817,988,942
278,816,987,941
279,815,986,940
280,814,985,939
281,813,984,938
282,812,984,938
283,811,983,936
284,810,982,935
285,809,981,934
286,807,980,932
287,806,979,931
288,806,978,930
289,805,977,927
290,804,976,926
291,803,975,925
292,796,974,920
293,795,973,919
294,794,972,918
295,793,971,917
296,792,970,916
297,786,969,914
298,784,968,913
299,784,967,912
300,783,966,911
301,781,965,906
302,780,964,905
303,780,963,903
304,780,962,903
305,779,961,902
306,778,961,902
307,777,960,901
308,774,959,900
309,773,958,899
310,772,957,898
311,771,956,897
312,770,955,895
313,769,954,893
314,768,953,892
315,767,952,890
316,764,951,889
317,764,950,887
318,763,949,886
319,762,948,884
320,761,947,882
321,760,946,881
322,760,945,880
323,759,944,880
324,758,943,879
325,757,942,878
326,756,941,877
327,756,940,876
328,755,940,876
329,754,939,875
330,753,938,874
331,753,938,874
332,752,937,873
333,752,937,873
334,751,936,872
335,748,935,872
336,748,934,872
337,747,933,871
338,746,932,869
339,745,931,868
340,744,930,867
341,743,929,867
342,742,928,866
343,741,927,865
344,740,926,864
345,740,925,864
346,739,924,864
